,congestion price ($/MW),flow (MW)
SOUTH_to_NORTH-1,0,-67.37
SOUTH_to_NORTH-2,0,-79.31
SOUTH_to_NORTH-3,0,-86.02
SOUTH_to_NORTH-4,0,-101.77
SOUTH_to_NORTH-5,0,-117.70
SOUTH_to_NORTH-6,0,-118.87
SOUTH_to_NORTH-7,0,-132.23
SOUTH_to_NORTH-8,0,-145.73
SOUTH_to_NORTH-9,0,-202.29
SOUTH_to_NORTH-10,0,-209.95
SOUTH_to_NORTH-11,0,-219.34
SOUTH_to_NORTH-12,0,-199.95
SOUTH_to_NORTH-13,0,-191.66
SOUTH_to_NORTH-14,0,-81.35
SOUTH_to_NORTH-15,0,76.64
SOUTH_to_NORTH-16,0,290.92
SOUTH_to_NORTH-17,0,484.33
SOUTH_to_NORTH-18,0,465.44
SOUTH_to_NORTH-19,-28.60,500.00
SOUTH_to_NORTH-20,-28.60,500.00
SOUTH_to_NORTH-21,-28.60,500.00
SOUTH_to_NORTH-22,-44.80,500.00
SOUTH_to_NORTH-23,-5.12,500.00
SOUTH_to_NORTH-24,0,500.00
SOUTH_to_NORTH-25,0,500.00
SOUTH_to_NORTH-26,0,500.00
SOUTH_to_NORTH-27,0,500.00
SOUTH_to_NORTH-28,0,500.00
SOUTH_to_NORTH-29,0,500.00
SOUTH_to_NORTH-30,0,500.00
SOUTH_to_NORTH-31,0,500.00
SOUTH_to_NORTH-32,0,500.00
SOUTH_to_NORTH-33,0,500.00
SOUTH_to_NORTH-34,0,500.00
SOUTH_to_NORTH-35,0,500.00
SOUTH_to_NORTH-36,0,500.00
SOUTH_to_NORTH-37,-28.60,500.00
SOUTH_to_NORTH-38,-28.60,500.00
SOUTH_to_NORTH-39,-28.60,500.00
SOUTH_to_NORTH-40,-28.60,500.00
SOUTH_to_NORTH-41,-48.20,500.00
SOUTH_to_NORTH-42,0,461.42
SOUTH_to_NORTH-43,-37.60,500.00
SOUTH_to_NORTH-44,-28.60,500.00
SOUTH_to_NORTH-45,-28.60,500.00
SOUTH_to_NORTH-46,-29.85,500.00
SOUTH_to_NORTH-47,-5.12,500.00
SOUTH_to_NORTH-48,0,500.00
